reference_path,file_class,purpose,target_decision,target_path,migration_mode,reason,upload_safe,operator_side_only,unresolved_needed,quarantine_needed,human_review_required,facility_confirmation_required,preview_evidence_required,validator_or_gate,status_after_this_slice
references/neurosurgery_safe_rag_pmda_product_source_register_resolved/README_127_DRUG_INVENTORY.md,inventory_readme,scope_and_completion_positioning,adapt_readiness_split_into_existing_docs,derived/gpt_drug_data_policy_expansion_runbook.md;derived/custom_gpt_knowledge_package/README.md,adapted_port,preserve candidate_not_confirmed and repo_local_vs_external_ready split,no,yes,no,no,yes,yes,no,validate_release_readiness.py;operator_review,seeded_priority_decision
references/neurosurgery_safe_rag_pmda_product_source_register_resolved/00_START_HERE/00_最初に読む.md,governance_doc,package_positioning,adapt_boundary_language_into_existing_docs,derived/custom_gpt_knowledge_package/README.md;derived/README.md,adapted_port,preserve non_guideline and non_prescription framing,no,yes,no,no,yes,no,no,validate_upload_manifest.py;operator_review,seeded_priority_decision
references/neurosurgery_safe_rag_pmda_product_source_register_resolved/00_START_HERE/01_このVaultの位置づけ.md,governance_doc,vault_scope_definition,adapt_boundary_language_into_existing_docs,derived/gpt_drug_data_policy_expansion_runbook.md;derived/custom_gpt_knowledge_package/README.md,adapted_port,preserve source_of_truth and derived_export separation,no,yes,no,no,yes,no,no,validate_release_readiness.py;operator_review,seeded_priority_decision
references/neurosurgery_safe_rag_pmda_product_source_register_resolved/00_START_HERE/02_使用禁止事項.md,governance_doc,forbidden_actions,adapt_safety_prohibitions_into_existing_docs,derived/gpt_drug_data_policy_expansion_runbook.md;derived/custom_gpt_knowledge_package/README.md,adapted_port,preserve prohibition on medical decision making and unverified claims,no,yes,no,no,yes,no,no,validate_unsafe_patterns.py;operator_review,seeded_priority_decision
references/neurosurgery_safe_rag_pmda_product_source_register_resolved/00_START_HERE/03_Custom_GPT投入方針.md,governance_doc,upload_boundary_rules,adapt_upload_boundary_into_existing_controls,derived/custom_gpt_knowledge_package/README.md;derived/custom_gpt_knowledge_package/manifest/custom_gpt_upload_manifest.csv,adapted_port,preserve upload_safe boundary and knowledge_only upload rule,no,yes,no,no,yes,no,no,validate_upload_manifest.py,seeded_priority_decision
references/neurosurgery_safe_rag_pmda_product_source_register_resolved/00_START_HERE/04_Operator_side分離方針.md,governance_doc,operator_side_separation,adapt_operator_side_split_into_existing_controls,derived/README.md;derived/custom_gpt_knowledge_package/manifest/custom_gpt_upload_manifest.csv,adapted_port,preserve operator_side_only separation from upload targets,no,yes,no,no,yes,no,no,validate_upload_manifest.py,seeded_priority_decision
references/neurosurgery_safe_rag_pmda_product_source_register_resolved/00_START_HERE/05_薬剤師_医師レビュー必須事項.md,governance_doc,human_review_gate,adapt_human_review_gate_into_existing_ledgers,derived/custom_gpt_knowledge_package/manifest/knowledge_chunk_review_crosswalk.csv;derived/custom_gpt_knowledge_package/tests/human_reviewed_preview_examples.md,adapted_port,preserve human review gate before external_ready_candidate,no,yes,no,no,yes,yes,yes,validate_review_state_integrity.py;validate_release_readiness.py,seeded_priority_decision
references/neurosurgery_safe_rag_pmda_product_source_register_resolved/00_START_HERE/AI_WORK_COMPLETION_REPORT.md,report,reference_closeout_state,keep_reference_closeout_as_history_only,derived/custom_gpt_knowledge_package/manifest/reference_migration_decision_ledger.csv,no_port_keep_as_reference_only,reference completion report is batch specific and must not be copied as target completion fact,no,yes,no,no,yes,no,no,operator_review,seeded_priority_decision
references/neurosurgery_safe_rag_pmda_product_source_register_resolved/01_SOURCE_REGISTERS/source_register_master.csv,source_register,source_register_structure,keep_reference_register_as_structure_model_only,derived/custom_gpt_knowledge_package/manifest/reference_migration_decision_ledger.csv,no_port_keep_as_reference_only,target repo has no product level PMDA source register layer yet and must not inherit reference rows,no,yes,yes,no,yes,yes,no,operator_review,seeded_priority_decision
references/neurosurgery_safe_rag_pmda_product_source_register_resolved/06_CUSTOM_GPT_UPLOAD_SET/upload_bundle_manifest.csv,upload_manifest,upload_bundle_inventory,adapt_bundle_inventory_pattern_into_existing_manifests,derived/custom_gpt_knowledge_package/manifest/file_inventory.csv;derived/custom_gpt_knowledge_package/manifest/source_to_knowledge_mapping.csv,adapted_port,preserve file to bundle traceability without copying reference upload set verbatim,no,yes,no,no,yes,no,no,operator_review,seeded_priority_decision
references/neurosurgery_safe_rag_pmda_product_source_register_resolved/08_VALIDATION_CHECKS/validate_safe_knowledge.py,validator,unsafe_content_gate,adapt_validator_discipline_into_existing_script_set,derived/custom_gpt_knowledge_package/tests/validate_unsafe_patterns.py,adapted_port,target repo already has analogous unsafe pattern gate and should remain aligned,no,yes,no,yes,yes,no,no,validate_unsafe_patterns.py,seeded_priority_decision
references/neurosurgery_safe_rag_pmda_product_source_register_resolved/08_VALIDATION_CHECKS/validate_manifest_completeness.py,validator,manifest_completeness_gate,adapt_manifest_completeness_pattern_into_existing_manifests,derived/custom_gpt_knowledge_package/manifest/reference_migration_decision_ledger.csv;derived/custom_gpt_knowledge_package/tests/validate_upload_manifest.py,adapted_port,target repo needs migration decision coverage while preserving existing upload manifest gate,no,yes,no,no,yes,no,no,validate_upload_manifest.py;operator_review,seeded_priority_decision
references/neurosurgery_safe_rag_pmda_product_source_register_resolved/08_VALIDATION_CHECKS/validate_pmda_resolution.py,validator,pmda_resolution_gate,keep_reference_resolution_gate_as_reference_only,derived/custom_gpt_knowledge_package/manifest/reference_migration_decision_ledger.csv,no_port_keep_as_reference_only,target repo does not yet operate a product level PMDA resolution register and must not fake one,no,yes,yes,no,yes,yes,no,operator_review,seeded_priority_decision
references/neurosurgery_safe_rag_pmda_product_source_register_resolved/09_MANIFESTS/package_summary.json,manifest,package_readiness_snapshot,adapt_readiness_split_into_existing_controls,derived/custom_gpt_knowledge_package/README.md;derived/custom_gpt_knowledge_package/manifest/build_notes.md,adapted_port,preserve custom_gpt_upload_safe false can coexist with validation pass,no,yes,no,no,yes,yes,no,validate_release_readiness.py,seeded_priority_decision
references/neurosurgery_safe_rag_pmda_product_source_register_resolved/09_MANIFESTS/custom_gpt_upload_manifest.csv,manifest,upload_boundary_register,adapt_upload_boundary_pattern_into_existing_manifest,derived/custom_gpt_knowledge_package/manifest/custom_gpt_upload_manifest.csv,adapted_port,target repo already maintains upload boundary in machine readable form,no,yes,no,no,yes,no,no,validate_upload_manifest.py,seeded_priority_decision
references/neurosurgery_safe_rag_pmda_product_source_register_resolved/09_MANIFESTS/operator_side_only_manifest.csv,manifest,operator_side_inventory,adapt_operator_side_only_pattern_into_existing_manifest,derived/custom_gpt_knowledge_package/manifest/custom_gpt_upload_manifest.csv;derived/README.md,adapted_port,preserve explicit non_upload listing for operator side files,no,yes,no,no,yes,no,no,validate_upload_manifest.py,seeded_priority_decision
references/neurosurgery_safe_rag_pmda_product_source_register_resolved/09_MANIFESTS/unresolved_items.csv,manifest,unresolved_tracking,record_as_reference_unresolved_input,derived/custom_gpt_knowledge_package/manifest/reference_migration_decision_ledger.csv,no_port_unresolved,target repo must not copy unresolved PMDA items as resolved or upload safe facts,no,yes,yes,no,yes,yes,no,operator_review,seeded_priority_decision
references/neurosurgery_safe_rag_pmda_product_source_register_resolved/09_MANIFESTS/human_review_manifest.csv,manifest,human_review_assignments,adapt_human_review_pattern_into_existing_ledgers,derived/custom_gpt_knowledge_package/manifest/knowledge_chunk_review_crosswalk.csv;derived/custom_gpt_knowledge_package/tests/human_reviewed_preview_examples.md,adapted_port,preserve manual reviewer assignment and evidence linkage discipline,no,yes,no,no,yes,yes,yes,validate_review_state_integrity.py,seeded_priority_decision
references/neurosurgery_safe_rag_pmda_product_source_register_resolved/09_MANIFESTS/facility_confirmation_manifest.csv,manifest,facility_confirmation_gate,record_as_reference_only_until_target_facility_layer_exists,derived/custom_gpt_knowledge_package/manifest/reference_migration_decision_ledger.csv,no_port_unresolved,target repo lacks a dedicated facility confirmation ledger and must not imply local confirmation,no,yes,yes,no,yes,yes,no,operator_review,seeded_priority_decision
references/neurosurgery_safe_rag_pmda_product_source_register_resolved/09_MANIFESTS/product_resolution_status.csv,manifest,product_resolution_state,record_as_reference_only_until_target_resolution_layer_exists,derived/custom_gpt_knowledge_package/manifest/reference_migration_decision_ledger.csv,no_port_unresolved,target repo must not inherit PMDA product level status rows as local truth,no,yes,yes,no,yes,yes,no,operator_review,seeded_priority_decision
references/neurosurgery_safe_rag_pmda_product_source_register_resolved/11_PMDA_RESOLUTION_LOGS/pmda_search_query_log.csv,resolution_log,query_audit_trail,keep_reference_log_as_history_only,derived/custom_gpt_knowledge_package/manifest/reference_migration_decision_ledger.csv,no_port_keep_as_reference_only,query history is reference batch specific and non portable,no,yes,no,no,yes,no,no,operator_review,seeded_priority_decision
references/neurosurgery_safe_rag_pmda_product_source_register_resolved/11_PMDA_RESOLUTION_LOGS/pmda_resolution_success_log.csv,resolution_log,resolution_success_audit,keep_reference_log_as_history_only,derived/custom_gpt_knowledge_package/manifest/reference_migration_decision_ledger.csv,no_port_keep_as_reference_only,resolution success rows belong to reference batch and must not be copied as target facts,no,yes,no,no,yes,no,no,operator_review,seeded_priority_decision
references/neurosurgery_safe_rag_pmda_product_source_register_resolved/11_PMDA_RESOLUTION_LOGS/pmda_resolution_failure_log.csv,resolution_log,resolution_failure_audit,keep_reference_log_as_history_only,derived/custom_gpt_knowledge_package/manifest/reference_migration_decision_ledger.csv,no_port_keep_as_reference_only,failure logs are reference specific history and reusable only as pattern,no,yes,no,no,yes,no,no,operator_review,seeded_priority_decision
references/neurosurgery_safe_rag_pmda_product_source_register_resolved/11_PMDA_RESOLUTION_LOGS/pmda_ambiguous_hits_log.csv,resolution_log,ambiguity_audit,keep_reference_log_as_history_only,derived/custom_gpt_knowledge_package/manifest/reference_migration_decision_ledger.csv,no_port_keep_as_reference_only,ambiguity logs are reference batch specific and should not be migrated as target facts,no,yes,no,no,yes,no,no,operator_review,seeded_priority_decision
references/neurosurgery_safe_rag_pmda_product_source_register_resolved/11_PMDA_RESOLUTION_LOGS/pmda_manual_review_required.csv,resolution_log,manual_review_queue,record_as_reference_unresolved_input,derived/custom_gpt_knowledge_package/manifest/reference_migration_decision_ledger.csv,no_port_unresolved,manual review queue is reusable only as unresolved pattern and not as resolved content,no,yes,yes,no,yes,yes,no,operator_review,seeded_priority_decision
